Name,IAU,ref,cdda16,Z,G_NO,ZERO-TO-ZERO,AVE_PEAK,MAX_PEAK,MIN_PEAK,AVE_V,AVE_V_over_Z2Z,AVE_FWHM,MAX_FWHM,MIN_FWHM,TYPE
UM305,J0108-0037,gsp+09a,Y,1.371,1,52,0.073,0.073,0.073,0.0,0.0,16.8,16.8,16.8,int
PKS0132-097,J0134-0931,kb03,Y,0.764,2,519,0.029,0.03,0.029,-36.0,-0.069,110.0,145.3,73.9,int
PKS0201+113,0201+113,kps+14,Y,3.387,2,143,0.013,0.017,0.009,-2.15,-0.015,29.1,36.5,21.6,int
B20218+35,0218+357,cry93,Y,0.685,1,143,0.045,0.045,0.045,0.0,0.0,48.8,48.8,48.8,int
[HB89]0248+430,0248+430,lb01,N,0.394,3,52,0.160,0.191,0.117,0.57,0.011,5.35,6.31,4.75,int
3C082,0311+430,ykep07,Y,2.29,2,145,0.01,0.015,0.006,-14.0,-0.099,37.0,40.3,34.2,int
4C+05.19,J0414+0534,cdbw07,Y,0.96,3,127,0.011,0.017,0.003,13.1,0.103,25.9,31.4,18.9,int
[HB89]0438-436,0438-436,kps+14,Y,2.347,2,83,0.005,0.006,0.003,7.25,0.087,21.4,24.3,18.4,int
PKS0454-234,J0475-2324,gsp+12,Y,0.891,1,39,0.013,0.013,0.013,0.0,0.0,14.8,14.8,14.8,int
[HB89]0458-020,0458-020,kpec09,Y,1.561,1,17,0.023,0.023,0.023,0.0,0.0,6.5,6.5,6.5,int
[HB89]0458-020,0458-020,kps+14,Y,2.039,2,54,0.237,0.334,0.139,3.75,0.069,11.5,12.8,10.2,int
FBQSJ074110.6+31120,0738+313,kgc01,Y,0.221,2,14,0.048,0.063,0.032,0.1,0.007,4.0,4.7,3.3,int
FBQSJ0804+3012,J0804+3012,gsp+09a,Y,1.191,2,198,0.003,0.004,0.002,-9.0,-0.045,66.0,88.5,43.4,int
SBS0804+499,J0808+4950,gsp+09a,Y,1.407,1,28,0.008,0.008,0.008,0.0,0.0,11.3,11.3,11.3,int
3C196,0809+483,bdv01,Y,0.437,2,347,0.01,0.017,0.004,46.7,0.135,55.7,72.1,39.3,int
FBQSJ083052.0+241059,0827+243,kc01a,Y,0.525,1,89,0.006,0.006,0.006,0.0,0.0,36.9,36.9,36.9,int
