Name,S,z_abs,a,b_1,b_2,c,x_e,x_p,w,n,x_0,w_50,w_20,tau_peak,tau_int,SNR,chi,Class,Reference 
0003+380,0.547,0.229,0.07,0.158,0.315,0,17.92,0.1,4.062,0,-46.47,0,0,0.056,0,267.876,0.597,0,A18b  
0035+227,0.583,0.096,0.008,3.618,3.433,0.449,43.199,45.003,3.378,0.895,425.947,169.005,183.261,0.021,2.507,548.881,0.065,0,O17  
0105-008,1.26,1.371,0.244,0.139,0.248,0,89.449,0.1,-0.263,0,-26.323,15.332,23.949,0.059,0.987,1561.174,0.072,0,K09b  
0941-080,2.58,0.228,0.018,0.375,14.91,0,29.756,0.1,4.979,0,-501.49,271.151,316.234,0.018,4.929,124.663,0.237,0,O17  
J101301.60+244837.3,0.892,0.95,0.005,0.05,0.23,0,83.426,0.1,34.667,0,-525.438,201.073,243.043,0.005,1.076,1651.321,0.023,0,A19  
J104830.37+353800.8,0.553,0.846,1.219,0.008,0.192,0,216.327,0.1,-85.765,0,-26.071,208.543,409.57,0.03,7.764,597.04,0.271,0,A19  
1142+052,1.01,1.343,0.003,0.362,0.285,0.074,52.754,49.021,13.725,0.998,-15.646,107.432,122.156,0.006,0.562,2066.999,0.014,0,K09b  
1200+045,1.675,1.226,0.004,0.64,0.05,0.194,14.188,20.748,3.296,1.303,-2092.86,18.276,97.686,0.01,0.408,841.837,0.018,0,A18a  
1245-197,8.302,1.275,0.083,0.139,0.155,0.001,36.585,38.423,-2.904,4.236,-6.266,100.362,203.863,0.02,2.586,1292.803,0.008,0,A18a  
1504+377,1,0.673,0,0.337,0.306,3550.72,82.512,81.523,4.339,0.353,334.214,79.96,105.758,0.413,29.84,96.621,2.989,0,C98  
J014652.79-015721.2,1.804,0.959,0.024,0.051,0.026,0,59.03,0.1,10.057,0,39.73,0,0,0.012,0,496.016,0.047,0,A19  
J075756.71+395936.1,0.091,0.066,0.067,0.339,0.122,0,91.009,0.1,2.082,0,-0.761,150.632,240.913,0.036,5.955,216.778,0.16,0,G15-M17  
J080601.51+190614.7,0.142,0.098,1.152e9,0.193,0.017,0,-35.136,0.1,-131.494,0,133.327,220.748,366.912,0.033,8.31,148.952,0.217,0,G15-M17  
J080938.88+345537.2,0.142,0.082,0.009,0.668,1.341,0,80.72,0.1,2.147,0,-213.66,76.776,100.658,0.008,0.653,310.802,0.059,0,G15-M17  
J082133.60+470237.3,1.24,0.128,0.01,4.835,4.541,0,129.971,0.1,1,0,-207.428,37.172,42.595,0.01,0.363,852.284,0.017,0,M17  
J083548.14+151717.0,0.045,0.168,0.157,0.331,1.058,0,115.169,112.987,0.405,8.952,-276.114,58.873,209.356,0.117,9.145,40.04,15.719,0,M17  
J083637.84+440109.6,0.134,0.055,0.043,0.417,0.318,0.032,90.956,90.992,-0.85,4.823,37.597,62.498,181.383,0.016,1.421,370.049,0.132,0,G15-M17  
